vrstni_red,albumi,leta,avtorji,podzvrsti,ocene,st_glasov
20.,"Fas - Ite, Maledicti, In Ignem Aeternum",(2007),Deathspell Omega,Black,8.80,163
21.,Eater Of Birds,(2007),Cobalt,Black,8.79,53
22.,Arntor,(1999),Windir,Black,8.79,265
23.,OM,(2006),Negur&#259; Bunget,Black,8.78,299
24.,Likferd,(2003),Windir,Black,8.77,231
25.,Slaughtersun (Crown Of The Triarchy),(1998),Dawn (SWE),Black,8.76,50
26.,Axioma Ethica Odini,(2010),Enslaved,Black,8.75,730
27.,Theogonia,(2007),Rotting Christ,Black,8.74,510
28.,Enthrone Darkness Triumphant,(1997),Dimmu Borgir,Black,8.74,920
29.,Let Mortal Heroes Sing Your Fame,(2001),Summoning,Black,8.74,289
30.,Pale Folklore,(1999),Agalloch,Black,8.73,706
31.,Blood Fire Death,(1988),Bathory,Black,8.73,494
32.,The Gathering Wilderness,(2005),Primordial,Black,8.72,291
33.,&#1050;&#1088;&#1086;&#1074; &#1059; &#1053;&#1072;&#1096;&#1080;&#1093; &#1050;&#1088;&#1080;&#1085;&#1080;&#1094;&#1103;&#1093; (Blood In Our Wells),(2006),Drudkh,Black,8.72,185
34.,Hunger Of Elements,(2005),Kataxu,Black,8.71,21
35.,R&oacute;ka Hasa R&aacute;di&oacute;,(2009),Thy Catafalque,Black,8.70,110
36.,Nemesis Divina,(1996),Satyricon,Black,8.70,480
37.,Sons Of Northern Darkness,(2002),Immortal,Black,8.70,799
38.,Dark Space III,(2008),Darkspace,Black,8.70,123
39.,Hereafter,(2011),Hands Of Despair,Black,8.69,29
40.,Attende,(2009),Mistur,Black,8.68,41
41.,Bergtatt - Et Eeventyr I 5 Capitler,(1995),Ulver,Black,8.68,340
42.,Autumn Aurora,(2004),Drudkh,Black,8.67,227
43.,Far Away From The Sun,(1996),Sacramentum,Black,8.67,63
44.,The Arcane Odyssey,(2007),Sear Bliss,Black,8.67,57
45.,Il &Eacute;tait Une For&ecirc;t...,(2007),Gris,Black,8.66,59
46.,De Mysteriis Dom Sathanas,(1994),Mayhem,Black,8.66,614
47.,Ceremony Of Opposites,(1994),Samael,Black,8.65,219
48.,The Somberlain,(1993),Dissection,Black,8.65,444
49.,Isa,(2004),Enslaved,Black,8.65,432
50.,In Abhorrence Dementia,(1997),Limbonic Art,Black,8.64,149
51.,Moon In The Scorpio,(1996),Limbonic Art,Black,8.64,114
52.,Stained Glass Revelations,(2011),Negative Plane,Black,8.63,35
53.,Srontgorrth,(1999),Nagelfar,Black,8.63,51
54.,Below The Lights,(2003),Enslaved,Black,8.63,334
55.,Einblick In Den Qualenfall,(2007),Verdunkeln,Black,8.63,35
56.,Nattestid...,(1999),Taake,Black,8.63,124
57.,Magnificent Glorification Of Lucifer,(2004),Inquisition,Black,8.62,32
58.,Deathconsciousness,(2008),Have A Nice Life,Black,8.62,29
59.,...Bjoergvin...,(2002),Taake,Black,8.61,101
60.,Marrow Of The Spirit,(2010),Agalloch,Black,8.61,802
61.,"Si Monumentum Requires, Circumspice",(2004),Deathspell Omega,Black,8.61,162
62.,K&ouml;ld,(2009),S&oacute;lstafir,Black,8.61,159
63.,Passage,(1996),Samael,Black,8.61,231
64.,Nightwork,(1998),Diabolical Masquerade,Black,8.61,150
65.,King Of The Distant Forest,(1998),Mithotyn,Black,8.61,33
66.,Triarchy Of The Lost Lovers,(1996),Rotting Christ,Black,8.60,229
67.,"&Agrave; L&#039;&Acirc;me Enflamm&eacute;e, L&#039;&Auml;me Constell&eacute;e...",(2013),Gris,Black,8.59,101
68.,Echoes Of Battle,(2013),Caladan Brood,Black,8.59,274
69.,Oath Bound,(2006),Summoning,Black,8.59,334
70.,Gathered Around The Oaken Table,(1999),Mithotyn,Black,8.59,29
71.,Angst,(2010),Todtgelichter,Black,8.59,121
72.,Lurker Of Chalice,(2005),Lurker Of Chalice,Black,8.59,88
73.,Dark Space I,(2003),Darkspace,Black,8.59,83
74.,Dusk... And Her Embrace,(1996),Cradle Of Filth,Black,8.59,631
75.,Within The Vacuum Of Infinity...,(2009),Arizmenda,Black,8.59,22
76.,Torn Beyond Reason,(2011),Woods Of Desolation,Black,8.58,154
77.,... And The Physical Shape Of Light Bled,(2000),Ancient Wisdom,Black,8.58,26
78.,Puritanical Euphoric Misanthropia,(2001),Dimmu Borgir,Black,8.58,811
79.,Welcome My Last Chapter,(1996),Vinterland,Black,8.58,52
